category,county_string,"Bachelor's degree or higher, 2012-2016",category
American,"Fannin County, Texas","3,706",2
American,"Grant County, Oregon","1,193",6
American,"Greensville County, Virginia",736,1
American,"Lane County, Oregon","70,002",10
American,"Schuylkill County, Pennsylvania","16,260",1
American,"Sevier County, Tennessee","11,686",11
American,"Tyler County, Texas","1,700",6
American,"Venango County, Pennsylvania","6,374",8
American,"Wood County, Ohio","25,229",1
Chinese,"Fannin County, Texas","3,706",1
Chinese,"Lane County, Oregon","70,002",38
Chinese,"Schuylkill County, Pennsylvania","16,260",5
Chinese,"Sevier County, Tennessee","11,686",5
Chinese,"Tyler County, Texas","1,700",1
Chinese,"Venango County, Pennsylvania","6,374",1
Chinese,"Wood County, Ohio","25,229",7
Indian,"Lane County, Oregon","70,002",4
Italian,"Fannin County, Texas","3,706",1
Italian,"Grant County, Oregon","1,193",1
Italian,"Lane County, Oregon","70,002",22
Italian,"Schuylkill County, Pennsylvania","16,260",7
Italian,"Sevier County, Tennessee","11,686",9
Italian,"Venango County, Pennsylvania","6,374",6
Italian,"Wood County, Ohio","25,229",3
Mexican,"Fannin County, Texas","3,706",1
Mexican,"Grant County, Oregon","1,193",1
Mexican,"Lane County, Oregon","70,002",18
Mexican,"Schuylkill County, Pennsylvania","16,260",2
Mexican,"Sevier County, Tennessee","11,686",5
Mexican,"Tyler County, Texas","1,700",3
Mexican,"Washington County, Kansas",728,1
Mexican,"Wood County, Ohio","25,229",5
