category,county_string,"High school diploma only, 2012-2016",category
American,"Fannin County, Texas","8,238",2
American,"Grant County, Oregon","1,747",6
American,"Greensville County, Virginia","3,630",1
American,"Lane County, Oregon","60,355",10
American,"Schuylkill County, Pennsylvania","50,617",1
American,"Sevier County, Tennessee","24,724",11
American,"Tyler County, Texas","6,428",6
American,"Venango County, Pennsylvania","19,020",8
American,"Wood County, Ohio","25,012",1
Chinese,"Fannin County, Texas","8,238",1
Chinese,"Lane County, Oregon","60,355",38
Chinese,"Schuylkill County, Pennsylvania","50,617",5
Chinese,"Sevier County, Tennessee","24,724",5
Chinese,"Tyler County, Texas","6,428",1
Chinese,"Venango County, Pennsylvania","19,020",1
Chinese,"Wood County, Ohio","25,012",7
Indian,"Lane County, Oregon","60,355",4
Italian,"Fannin County, Texas","8,238",1
Italian,"Grant County, Oregon","1,747",1
Italian,"Lane County, Oregon","60,355",22
Italian,"Schuylkill County, Pennsylvania","50,617",7
Italian,"Sevier County, Tennessee","24,724",9
Italian,"Venango County, Pennsylvania","19,020",6
Italian,"Wood County, Ohio","25,012",3
Mexican,"Fannin County, Texas","8,238",1
Mexican,"Grant County, Oregon","1,747",1
Mexican,"Lane County, Oregon","60,355",18
Mexican,"Schuylkill County, Pennsylvania","50,617",2
Mexican,"Sevier County, Tennessee","24,724",5
Mexican,"Tyler County, Texas","6,428",3
Mexican,"Washington County, Kansas","1,424",1
Mexican,"Wood County, Ohio","25,012",5
