category,county_string,"Some college or associate's degree, 2012-2016",category
American,"Fannin County, Texas","7,747",2
American,"Grant County, Oregon","1,982",6
American,"Greensville County, Virginia","2,266",1
American,"Lane County, Oregon","92,081",10
American,"Schuylkill County, Pennsylvania","26,425",1
American,"Sevier County, Tennessee","19,257",11
American,"Tyler County, Texas","4,549",6
American,"Venango County, Pennsylvania","8,929",8
American,"Wood County, Ohio","24,675",1
Chinese,"Fannin County, Texas","7,747",1
Chinese,"Lane County, Oregon","92,081",38
Chinese,"Schuylkill County, Pennsylvania","26,425",5
Chinese,"Sevier County, Tennessee","19,257",5
Chinese,"Tyler County, Texas","4,549",1
Chinese,"Venango County, Pennsylvania","8,929",1
Chinese,"Wood County, Ohio","24,675",7
Indian,"Lane County, Oregon","92,081",4
Italian,"Fannin County, Texas","7,747",1
Italian,"Grant County, Oregon","1,982",1
Italian,"Lane County, Oregon","92,081",22
Italian,"Schuylkill County, Pennsylvania","26,425",7
Italian,"Sevier County, Tennessee","19,257",9
Italian,"Venango County, Pennsylvania","8,929",6
Italian,"Wood County, Ohio","24,675",3
Mexican,"Fannin County, Texas","7,747",1
Mexican,"Grant County, Oregon","1,982",1
Mexican,"Lane County, Oregon","92,081",18
Mexican,"Schuylkill County, Pennsylvania","26,425",2
Mexican,"Sevier County, Tennessee","19,257",5
Mexican,"Tyler County, Texas","4,549",3
Mexican,"Washington County, Kansas","1,452",1
Mexican,"Wood County, Ohio","24,675",5
